Case ID,Activity,Variant,Variant index,amount:low,amount:high,dismissal:low,dismissal:high,points:low,points:high,paymentAmount:low,paymentAmount:high,expense:low,expense:high
case 12,Payment,Variant 34,34,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 12,Insert Fine Notification,Variant 34,34,,,,,,,,,,
case 13,Create Fine,Variant 7,7,41.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 13,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 13,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 13,Appeal to Judge,Variant 7,7,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 14,Create Fine,Variant 24,24,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 14,Send Fine,Variant 24,24,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 14,Insert Fine Notification,Variant 24,24,,,,,,,,,,
case 14,Add penalty,Variant 24,24,77.50,155.00,,,,,,,,
case 15,Create Fine,Variant 24,24,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 15,Send Fine,Variant 24,24,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 15,Insert Fine Notification,Variant 24,24,,,,,,,,,,
case 15,Add penalty,Variant 24,24,319.50,716.00,,,,,,,,
case 16,Create Fine,Variant 32,32,71.00,77.50,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 16,Send Fine,Variant 32,32,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 16,Insert Fine Notification,Variant 32,32,,,,,,,,,,
case 16,Payment,Variant 32,32,,,,,,,-9223372036854775808.00,29.77,,
case 17,Create Fine,Variant 32,32,155.00,319.50,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 17,Send Fine,Variant 32,32,,,,,,,,,-9223372036854775808.00,4.96
case 17,Insert Fine Notification,Variant 32,32,,,,,,,,,,
case 17,Payment,Variant 32,32,,,,,,,-9223372036854775808.00,168.50,,
case 18,Create Fine,Variant 32,32,155.00,159.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 18,Send Fine,Variant 32,32,,,,,,,,,4.96,9223372036854775808.00
case 18,Insert Fine Notification,Variant 32,32,,,,,,,,,,
case 18,Payment,Variant 32,32,,,,,,,-9223372036854775808.00,79.00,,
case 19,Create Fine,Variant 32,32,155.00,319.50,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 19,Send Fine,Variant 32,32,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 19,Insert Fine Notification,Variant 32,32,,,,,,,,,,
case 19,Payment,Variant 32,32,,,,,,,-9223372036854775808.00,168.50,,
case 20,Create Fine,Variant 32,32,716.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 20,Send Fine,Variant 32,32,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 20,Insert Fine Notification,Variant 32,32,,,,,,,,,,
case 20,Payment,Variant 32,32,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 21,Create Fine,Variant 34,34,41.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 21,Send Fine,Variant 34,34,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 21,Payment,Variant 34,34,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 21,Insert Fine Notification,Variant 34,34,,,,,,,,,,
case 22,Create Fine,Variant 68,68,-9223372036854775808.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 22,Payment,Variant 68,68,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 22,Payment,Variant 68,68,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 22,Payment,Variant 68,68,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 22,Payment,Variant 68,68,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 23,Create Fine,Variant 69,69,39.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 23,Payment,Variant 69,69,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 23,Payment,Variant 69,69,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 23,Send Fine,Variant 69,69,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 23,Insert Fine Notification,Variant 69,69,,,,,,,,,,
case 24,Create Fine,Variant 51,51,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 24,Payment,Variant 51,51,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 24,Send Fine,Variant 51,51,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 24,Insert Fine Notification,Variant 51,51,,,,,,,,,,
case 24,Appeal to Judge,Variant 51,51,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 25,Create Fine,Variant 29,29,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 25,Payment,Variant 29,29,,,,,,,51.65,9223372036854775808.00,,
case 25,Send Fine,Variant 29,29,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 25,Insert Fine Notification,Variant 29,29,,,,,,,,,,
case 25,Add penalty,Variant 29,29,39.35,41.00,,,,,,,,
case 26,Create Fine,Variant 29,29,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 26,Payment,Variant 29,29,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 26,Send Fine,Variant 29,29,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 26,Insert Fine Notification,Variant 29,29,,,,,,,,,,
case 26,Add penalty,Variant 29,29,39.00,39.35,,,,,,,,
case 27,Create Fine,Variant 74,74,39.35,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 27,Payment,Variant 74,74,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 27,Send Fine,Variant 74,74,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 27,Insert Fine Notification,Variant 74,74,,,,,,,,,,
case 27,Payment,Variant 74,74,,,,,,,29.77,51.65,,
case 28,Create Fine,Variant 76,76,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 28,Payment,Variant 76,76,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 28,Send Fine,Variant 76,76,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 28,Payment,Variant 76,76,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 28,Insert Fine Notification,Variant 76,76,,,,,,,,,,
case 29,Create Fine,Variant 43,43,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 29,Send Fine,Variant 43,43,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 29,Insert Fine Notification,Variant 43,43,,,,,,,,,,
case 29,Insert Date Appeal to Prefecture,Variant 43,43,,,,,,,,,,
case 29,Send Appeal to Prefecture,Variant 43,43,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 30,Create Fine,Variant 7,7,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 30,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 30,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 30,Appeal to Judge,Variant 7,7,,,-9223372036854775808.00,71.00,,,,,,
case 31,Create Fine,Variant 7,7,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 31,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 31,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 31,Appeal to Judge,Variant 7,7,,,71.00,9223372036854775808.00,,,,,,
case 32,Create Fine,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 32,Send Fine,Variant 9,9,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 32,Insert Fine Notification,Variant 9,9,,,,,,,,,,
case 32,Add penalty,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 32,Appeal to Judge,Variant 9,9,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 33,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 33,Send Fine,Variant 17,17,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 33,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 33,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 33,Add penalty,Variant 17,17,77.50,155.00,,,,,,,,
case 34,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 34,Send Fine,Variant 17,17,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 34,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 34,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 34,Add penalty,Variant 17,17,319.50,716.00,,,,,,,,
case 35,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 35,Send Fine,Variant 17,17,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 35,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 35,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 35,Add penalty,Variant 17,17,-9223372036854775808.00,39.35,,,,,,,,
case 36,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 36,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 36,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 36,Add penalty,Variant 2,2,71.00,77.50,,,,,,,,
case 36,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,29.77,,
case 37,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 37,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,4.96
case 37,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 37,Add penalty,Variant 2,2,155.00,319.50,,,,,,,,
case 37,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,168.50,,
case 38,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 38,Send Fine,Variant 2,2,,,,,,,,,4.96,9223372036854775808.00
case 38,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 38,Add penalty,Variant 2,2,155.00,159.00,,,,,,,,
case 38,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,79.00,,
case 39,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 39,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 39,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 39,Add penalty,Variant 2,2,155.00,319.50,,,,,,,,
case 39,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,168.50,,
case 40,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 40,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 40,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 40,Add penalty,Variant 2,2,716.00,9223372036854775808.00,,,,,,,,
case 40,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 41,Create Fine,Variant 3,3,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 41,Send Fine,Variant 3,3,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 41,Insert Fine Notification,Variant 3,3,,,,,,,,,,
case 41,Payment,Variant 3,3,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 41,Appeal to Judge,Variant 3,3,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 42,Create Fine,Variant 46,46,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 42,Send Fine,Variant 46,46,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 42,Insert Fine Notification,Variant 46,46,,,,,,,,,,
case 42,Payment,Variant 46,46,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 42,Add penalty,Variant 46,46,-9223372036854775808.00,39.35,,,,,,,,
case 43,Create Fine,Variant 18,18,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 43,Send Fine,Variant 18,18,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 43,Payment,Variant 18,18,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 43,Insert Fine Notification,Variant 18,18,,,,,,,,,,
case 43,Appeal to Judge,Variant 18,18,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 44,Create Fine,Variant 35,35,-9223372036854775808.00,38.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 44,Send Fine,Variant 35,35,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 44,Payment,Variant 35,35,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 44,Payment,Variant 35,35,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 44,Insert Fine Notification,Variant 35,35,,,,,,,,,,
case 45,Create Fine,Variant 43,43,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 45,Send Fine,Variant 43,43,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 45,Insert Fine Notification,Variant 43,43,,,,,,,,,,
case 45,Insert Date Appeal to Prefecture,Variant 43,43,,,,,,,,,,
case 45,Send Appeal to Prefecture,Variant 43,43,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 46,Create Fine,Variant 7,7,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 46,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 46,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 46,Appeal to Judge,Variant 7,7,,,-9223372036854775808.00,71.00,,,,,,
case 47,Create Fine,Variant 7,7,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 47,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 47,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 47,Appeal to Judge,Variant 7,7,,,71.00,9223372036854775808.00,,,,,,
case 48,Create Fine,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 48,Send Fine,Variant 9,9,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 48,Insert Fine Notification,Variant 9,9,,,,,,,,,,
case 48,Add penalty,Variant 9,9,39.00,39.35,,,,,,,,
case 48,Appeal to Judge,Variant 9,9,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 49,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 49,Send Fine,Variant 17,17,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 49,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 49,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 49,Add penalty,Variant 17,17,39.00,39.35,,,,,,,,
case 50,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 50,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 50,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 50,Add penalty,Variant 2,2,-9223372036854775808.00,77.50,,,,,,,,
case 50,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,29.77,,
case 51,Create Fine,Variant 18,18,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 51,Send Fine,Variant 18,18,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 51,Payment,Variant 18,18,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 51,Insert Fine Notification,Variant 18,18,,,,,,,,,,
case 51,Appeal to Judge,Variant 18,18,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 52,Create Fine,Variant 6,6,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 52,Send Fine,Variant 6,6,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 52,Payment,Variant 6,6,,,,,,,51.65,9223372036854775808.00,,
case 52,Insert Fine Notification,Variant 6,6,,,,,,,,,,
case 52,Add penalty,Variant 6,6,39.35,41.00,,,,,,,,
case 53,Create Fine,Variant 6,6,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 53,Send Fine,Variant 6,6,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 53,Payment,Variant 6,6,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 53,Insert Fine Notification,Variant 6,6,,,,,,,,,,
case 53,Add penalty,Variant 6,6,39.00,39.35,,,,,,,,
case 54,Create Fine,Variant 8,8,39.35,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 54,Send Fine,Variant 8,8,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 54,Payment,Variant 8,8,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 54,Insert Fine Notification,Variant 8,8,,,,,,,,,,
case 54,Payment,Variant 8,8,,,,,,,29.77,51.65,,
case 55,Create Fine,Variant 35,35,39.00,41.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 55,Send Fine,Variant 35,35,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 55,Payment,Variant 35,35,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 55,Payment,Variant 35,35,,,,,,,-9223372036854775808.00,9223372036854775808.00,,
case 55,Insert Fine Notification,Variant 35,35,,,,,,,,,,
case 56,Create Fine,Variant 43,43,41.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 56,Send Fine,Variant 43,43,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 56,Insert Fine Notification,Variant 43,43,,,,,,,,,,
case 56,Insert Date Appeal to Prefecture,Variant 43,43,,,,,,,,,,
case 56,Send Appeal to Prefecture,Variant 43,43,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 57,Create Fine,Variant 7,7,41.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 57,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 57,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 57,Appeal to Judge,Variant 7,7,,,-9223372036854775808.00,71.00,,,,,,
case 58,Create Fine,Variant 7,7,41.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 58,Send Fine,Variant 7,7,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 58,Insert Fine Notification,Variant 7,7,,,,,,,,,,
case 58,Appeal to Judge,Variant 7,7,,,71.00,9223372036854775808.00,,,,,,
case 59,Create Fine,Variant 9,9,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 59,Send Fine,Variant 9,9,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 59,Insert Fine Notification,Variant 9,9,,,,,,,,,,
case 59,Add penalty,Variant 9,9,77.50,155.00,,,,,,,,
case 59,Appeal to Judge,Variant 9,9,,,-9223372036854775808.00,9223372036854775808.00,,,,,,
case 60,Create Fine,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,,,,
case 60,Send Fine,Variant 17,17,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
case 60,Insert Fine Notification,Variant 17,17,,,,,,,,,,
case 60,Add penalty,Variant 17,17,-9223372036854775808.00,9223372036854775808.00,,,,,,,,
case 60,Add penalty,Variant 17,17,-9223372036854775808.00,155.00,,,,,,,,
case 61,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 61,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,4.96
case 61,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 61,Add penalty,Variant 2,2,-9223372036854775808.00,319.50,,,,,,,,
case 61,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,168.50,,
case 62,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,2.00,,,,
case 62,Send Fine,Variant 2,2,,,,,,,,,4.96,9223372036854775808.00
case 62,Insert Fine Notification,Variant 2,2,,,,,,,,,,
case 62,Add penalty,Variant 2,2,-9223372036854775808.00,159.00,,,,,,,,
case 62,Payment,Variant 2,2,,,,,,,-9223372036854775808.00,79.00,,
case 63,Create Fine,Variant 2,2,-9223372036854775808.00,9223372036854775808.00,-9223372036854775808.00,9223372036854775808.00,2.00,9223372036854775808.00,,,,
case 63,Send Fine,Variant 2,2,,,,,,,,,-9223372036854775808.00,9223372036854775808.00
