Case ID,Create Fine|Create Fine,Send Fine|Insert Fine Notification,Appeal to Judge|Appeal to Judge,Appeal to Judge|Send for Credit Collection,Payment|Create Fine,Insert Fine Notification|Send Fine,Create Fine|Insert Fine Notification,Create Fine|Payment,Send Fine|Create Fine,Send Fine|Payment,Insert Fine Notification|Add penalty,Add penalty|Send for Credit Collection,Payment|Insert Date Appeal to Prefecture,Send Fine|Appeal to Judge,Insert Fine Notification|Create Fine,Payment|Appeal to Judge,Create Fine|Send Fine,Add penalty|Payment,Appeal to Judge|Create Fine,Add penalty|Insert Fine Notification,Create Fine|Appeal to Judge,Insert Date Appeal to Prefecture|Create Fine,Payment|Insert Fine Notification,Add penalty|Send Fine,Create Fine|Send for Credit Collection,Insert Fine Notification|Payment,Payment|Send for Credit Collection,Appeal to Judge|Payment,Send for Credit Collection|Send Fine,Send Fine|Send Appeal to Prefecture,Payment|Send Fine,Insert Fine Notification|Send for Credit Collection,Send for Credit Collection|Send for Credit Collection,Insert Fine Notification|Insert Fine Notification,Appeal to Judge|Send Fine,Send Fine|Send Fine,Insert Fine Notification|Insert Date Appeal to Prefecture,Send Appeal to Prefecture|Insert Fine Notification,Add penalty|Add penalty,Send Fine|Send for Credit Collection,Send Fine|Add penalty,Send for Credit Collection|Add penalty,Add penalty|Insert Date Appeal to Prefecture,Send for Credit Collection|Insert Fine Notification,Create Fine|Add penalty,Payment|Payment,Send for Credit Collection|Create Fine,Send for Credit Collection|Payment,Payment|Add penalty,Add penalty|Create Fine,Insert Fine Notification|Appeal to Judge,Insert Date Appeal to Prefecture|Send Appeal to Prefecture,Add penalty|Appeal to Judge,Appeal to Judge|Insert Fine Notification,Appeal to Judge|Add penalty
case 107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 108,1.0,0.7,1.0,0.0,0.0,0.0,0.24009999999999995,1.19,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.24009999999999995,0.3429999999999999,0.0,0.0,0.0,0.16806999999999994,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
case 109,1.0,0.7,0.0,0.0,0.0,0.0,0.24009999999999995,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 11,1.0,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 110,1.0,0.7,0.0,0.0,0.0,0.0,0.24009999999999995,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.16806999999999994,0.0,0.24009999999999995,0.0,0.0,0.0,0.48999999999999994,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 111,1.0,0.7,0.0,0.0,0.0,0.0,0.24009999999999995,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.16806999999999994,0.0,0.24009999999999995,0.0,0.0,0.0,0.48999999999999994,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 112,1.0,0.7,0.0,0.0,0.0,0.0,0.24009999999999995,1.19,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.16806999999999994,1.7,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.0
case 113,1.0,0.7,0.0,0.0,0.0,0.0,0.24009999999999995,1.19,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.16806999999999994,1.7,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.0
case 114,1.0,0.7,0.0,0.0,0.0,0.0,0.24009999999999995,1.3580699999999999,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 115,1.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.16806999999999994,1.4301,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.24009999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0429999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5981699999999999,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2830999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4301,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0429999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 119,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,1.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
case 12,1.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.3429999999999999,0.48999999999999994,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 120,1.0,0.7,1.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.3429999999999999,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
case 121,1.0,0.7,1.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.3429999999999999,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
case 122,1.0,0.7,1.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.3429999999999999,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
case 123,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 124,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.24009999999999995,0.0,0.3429999999999999,0.0,0.0,0.0,0.7,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 125,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.24009999999999995,0.0,0.3429999999999999,0.0,0.0,0.0,0.7,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 126,1.0,0.7,1.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.0,0.0,0.3429999999999999,0.0,0.24009999999999995,0.48999999999999994,0.0,0.0,0.0,0.16806999999999994,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.48999999999999994,0.0,0.7,0.0,0.0
case 127,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 128,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 129,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.16806999999999994,0.0,0.24009999999999995,0.0,0.0,0.0,0.7,0.48999999999999994,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3429999999999999,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 13,1.0,0.7,1.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.7,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
case 130,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.16806999999999994,0.0,0.24009999999999995,0.0,0.0,0.0,0.7,0.48999999999999994,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3429999999999999,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 131,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.16806999999999994,0.0,0.24009999999999995,0.0,0.0,0.0,0.7,0.48999999999999994,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3429999999999999,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 132,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7,0.0,0.8329999999999999,0.0,0.0,0.0,0.4081699999999999,1.0,0.0,0.0,0.5830999999999998,0.0,0.0,0.0,0.0,0.0,0.0
case 133,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7,0.0,0.8329999999999999,0.0,0.0,0.0,0.4081699999999999,1.0,0.0,0.0,0.5830999999999998,0.0,0.0,0.0,0.0,0.0,0.0
case 134,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.7,0.0,0.8329999999999999,0.0,0.0,0.0,0.4081699999999999,1.0,0.0,0.0,0.5830999999999998,0.0,0.0,0.0,0.0,0.0,0.0
case 135,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.8680699999999999,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.2401,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 136,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.8680699999999999,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.2401,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 137,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.8680699999999999,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.2401,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 138,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.8680699999999999,0.0,0.3429999999999999,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.2401,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 139,1.0,0.7,1.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.0,0.0,0.3429999999999999,0.0,0.24009999999999995,0.48999999999999994,0.0,0.0,0.0,0.16806999999999994,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.48999999999999994,0.0,0.7,0.0,0.0
case 14,1.0,0.7,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case 140,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
case 141,1.0,0.7,0.0,0.0,0.0,0.0,0.3429999999999999,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.48999999999999994,0.0,0.0,0.0,0.24009999999999995,1.0,0.0,0.0,0.3429999999999999,0.0,0.0,0.0,0.0,0.0,0.0
